Thorfare_ID,street_name,road_start,road_finish,new_area_code,Impact No,year_built,yr_last_repaired,in_charge,Irish
397059,ASHDALE GARDENS,ASHDALE ROAD,,4,,,1968,Y ,Gairdíní Cúr na Fuinnseóige 
335243,ASHDALE PARK,ASHDALE ROAD,,4,,,1940,Y ,Páirc Cúr na Fuinnseóige 
335701,ASHDALE ROAD,EATON SQUARE,TERENURE ROAD NORTH,4,,,1972,Y ,Bóthar Cúr na Fuinnseóige
334183,ASHFIELD AVENUE,ASHFIELD ROAD,MORNINGTON ROAD,5,,,1960,Y ,
335219,ASHFIELD PARK,ASHDALE ROAD,MOUNT TALLANT AVENUE,4,,,1972,Y ,
334182,ASHFIELD ROAD,RANELAGH,BEECHWOOD ROAD,5,,,1960,Y ,
334182,ASHFIELD ROAD,RANELAGH,BEECHWOOD ROAD,5,,,1960,Y ,
180546,ASHFORD COTTAGES,OFF ASHFORD STREET,,1,,,1972,Y ,Iostáin áth na Fuinseóige
180547,ASHFORD PLACE,ASHFORD STREET,,1,,,1972,Y ,Plás áth na Fuinseóige 
180549,ASHFORD STREET,ROSS STREET,COWPER STREET,1,,,1971,Y ,Sráid áth na Fuinseóige
203539,ASHINGTON AVENUE,KINVARA AVENUE,,1,,,1988,Y,Ascaill Ashington
549592,ASHINGTON CLOSE,ASHINGTON PARK,,1,,,0,Y,Clós Ashington 
585102,ASHINGTON COURT,ASHINGTON PARK,,1,,,0,Y,Cúirt Ashington
161346,ASHINGTON CRESCENT,ASHINGTON HEATH,,1,,,1988,Y,Corrán Ashington 
549584,ASHINGTON DALE,ASHINGTON PARK,,1,,,0,Y,Gleanntán Ashington 
585178,ASHINGTON GARDENS,ASHINGTON PARK,,1,,,0,Y,Gairdíní Ashington  
203577,ASHINGTON GREEN,ASHINGTON AVENUE,,1,,,1988,Y,Faiche Ashington 
161376,ASHINGTON GROVE,ASHINGTON CRESCENT,,1,,,1988,Y,Garrán Ashington 
160519,ASHINGTON HEATH,ASHINGTON AVENUE,,1,,,1988,Y,Fraoch  Ashington
585132,ASHINGTON MEWS,ASHINGTON COURT,,1,,,0,Y,Eachlann Ashington  
160555,ASHINGTON PARK,ASHINGTON COURT,ASHINGTON RISE,1,,,1988,Y,Páirc Ashington
154324,ASHINGTON RISE,ASHINGTON HEATH,CUL DE SAC,1,,,1988,Y,Ard Ashington  
186458,ASHLING CLOSE,OLD COUNTY ROAD,,4,,1991,1991,Y ,
155165,ASHTOWN GROVE,KINVARA PARK,,1,,,0,Y ,Garrán Bhaile na Fuinseoige 
30259,ASHTOWN LODGE,PARK ROAD,,1,,0,1997,N,
125276,ASHWORTH PLACE,FITZGERALD STREET,MOUNT DRUMMOND AVENUE,5,,,1940,Y ,Plás Aisbhiort 
40404,ASTON PLACE,ASTON QUAY,FLEET STREET,5,,,1940,Y ,Plás Astúin 
40355,ASTON QUAY,BEDFORD ROW,O'CONNELL BRIDGE,5,5,,1965,Y ,Cé Astúin
126174,ATHLUMNEY VILLAS,OFF RANELAGH ROAD,,5,,,1940,Y ,Bailtíní áthluimnigh
373455,AUBURN AVENUE,AUBURN ROAD,MOREHAMPTON RD,5,,,1963,Y ,Ascaill Achadh na Gréine 
407014,AUBURN ROAD,OFF HOME VILLAS,,5,,,1963,Y ,Bóthar Achadh na Gréine
238318,AUBURN STREET,PRIMROSE AVENUE,,1,,,1970,Y ,Sráid Achadh na Gréine 
338819,AUBURN VILLAS,OFF RATHGAR ROAD,,5,,,1966,Y ,Bailtíní Achadh na Gréine
30698,AUBURN WALK,OFF AUGHRIM STREET,,1,,,1982,Y ,
141795,AUGHAVANNAGH ROAD,CLOGHER ROAD,PARNELL ROAD,4,,,1940,Y ,
30493,AUGHRIM COURT,AUGHRIM STREET,,1,,1995,0,N ,Cúirt Eachroma 
180565,AUGHRIM LANE,HALLIDAY ROAD,,1,,,1940,Y ,Lána Eachroma  
248532,AUGHRIM PLACE,AUGHRIM STREET,OXMANSTOWN ROAD,1,,,1968,Y ,Plás Eachroma  
230977,AUGHRIM STREET,NORTH CIRCULAR ROAD,PRUSSIA STREET,1,3,,1940,Y ,Sráid Eachroma 
230977,AUGHRIM STREET,NORTH CIRCULAR ROAD,PRUSSIA STREET,1,3,,1940,Y ,Sráid Eachroma 
460053,AULDEN GRANGE,COOLOCK LANE OLD,,3,,1993,0,Y ,
30351,AUNGIER LANE,OFF AUNGIER PLACE,,5,,,1940,Y ,Lána Áinséir
30350,AUNGIER PLACE,MERCER STREET UPPER,AUNGIER STREET,5,,,1940,Y ,Plás Áinséir
40248,AUNGIER STREET,STEPHEN STREET LOWER,BISHOP STREET,5,5,,1985,Y ,Sráid Áinséir  
174308,AUSTINS COTTAGES,ANNESLEY PLACE,,1,,,1940,Y ,Iostáin Mhic Uistín 
197463,AVE MARIA ROAD,LOURDES ROAD,,4,,,1940,Y ,Bóthar Abhe Maria
47055,AVENUE ROAD,ST. KEVINS ROAD,BLOOMFIELD AVE.,5,,,1986,Y ,Bóthar an Ascaill
232809,AVONDALE AVENUE,AVONDALE ROAD,PHIBSBOROUGH AVE.,1,,,1970,Y ,Ascaill Gleannabhna 
167411,AVONDALE PARK,HOWTH ROAD,RAHENY COURT,3,,,1940,Y ,Páirc Gleannabhna
233395,AVONDALE ROAD,LESLIES BUILDINGS,NORTH CIRCULAR ROAD,1,,,1970,Y ,Bóthar Gleannabhna  
268162,AYREFIELD AVENUE,AYREFIELD ROAD,RATHVALE PARK,3,,,1984,Y ,
268223,AYREFIELD COURT,AYREFIELD ROAD,,3,,,1984,Y ,
231117,AYREFIELD DRIVE,NEWTOWN DRIVE,AYREFIELD ROAD,3,,,1984,Y ,
268189,AYREFIELD GROVE,AYREFIELD AVENUE,,3,,,1984,Y ,
256176,AYREFIELD PARK,AYREFIELD ROAD,RATHVALE AVENUE,3,,,1984,Y ,
231098,AYREFIELD PLACE,AYREFIELD ROAD,,3,,,1984,Y ,
231089,AYREFIELD ROAD,RATHVALE DRIVE,NEWTON DRIVE,3,,,1984,Y ,
47203,BACHELORS WALK,O'CONNELL STREET,LOWER LIFFEY STREET,1,5,,1961,Y ,
31522407,BACHELORS WAY,BACHELORS WALK,MIDDLE ABBEY STREET,1,,,0,Y ,
124506,BACK LANE,HIGH STREET,NICHOLAS STREET,4,,,1979,Y ,An Lána Cúil
30746,BAGGOT CLOSE,BAGGOT STREET LOWER,,5,,,1960,Y ,Clós Bhagóid
54866,BAGGOT COURT,BAGGOT STREET LOWER,PEMBROKE LANE,5,,,1940,Y ,Cúirt Bhagóid  
47008,BAGGOT LANE,NORTHTHUMBERLAND ROAD,EASTMORELAND PLACE,5,,,1940,Y ,Lána Bhagóid
161660,BAGGOT ROAD,NAVAN ROAD,BLACKHORSE AVE.,1,,,1968,Y ,Bóthar Bhagóid 
161660,BAGGOT ROAD,NAVAN ROAD,BLACKHORSE AVE.,1,,,1940,Y ,Bóthar Bhagóid 
54862,BAGGOT STREET LOWER,MERRION STREET UPPER,WILTON TCE.,5,5,,1968,Y ,Sráid Bhagóid íocht 
54862,BAGGOT STREET LOWER,MERRION STREET UPPER,WILTON TCE.,5,5,,0,Y ,Sráid Bhagóid íocht 
54862,BAGGOT STREET LOWER,MERRION STREET LOWER,WILTON TCE.,5,5,,1940,Y ,Sráid Bhagóid íocht 
47020,BAGGOT STREET UPPER,HADDINGTON ROAD,EASTMORELAND PLACE,5,5,,1940,Y ,
47020,BAGGOT STREET UPPER,HADDINGTON ROAD,EASTMORELAND PLACE,5,5,,1940,Y ,
54855,BAGGOTRATH PLACE,FITZWILLIAM LANE,BAGGOT STREET LOWER,5,,,1940,Y ,Plás Ráth Bhagóid
245057,BAILEY'S ROW,SUMMER HILL,PORTLAND ROW,1,,,1972,Y ,
279555,BALBUTCHER DRIVE,BALBUTCHER LANE,,2,,,0,Y ,Céide Bhaile an Bhúistéara  
279601,BALBUTCHER LANE,BALBUTCHER LANE,,2,,,0,Y ,
279601,BALBUTCHER LANE,BALCURRIS ROAD,,2,2,,0,Y ,Lána Bhaile an Bhuistéara
279569,BALBUTCHER WAY,BALBUTCHER LANE,,2,,,0,Y ,Bealach Bhaile an Bhuistéara
60050667,BALCURRIS CLOSE,BALCURRIS ROAD,BALCURRIS PARK EAST,2,,,0,N,
283315,BALCURRIS GARDENS,BALCURRIS ROAD,,2,,,0,Y ,Gairdíní Bhaile Cora
60050663,BALCURRIS PARK EAST,BALCURRIS CLOSE,BALCURRIS GARDENS,2,,,0,N,
60050661,BALCURRIS PARK WEST,BALBUTCHER LANE,DANE ROAD,2,,,0,N,
279570,BALCURRIS ROAD,SILLOGE ROAD,BALBUTCHER LANE,2,,,0,Y ,Bóthar Bhaile Cora  
373955,BALFE AVENUE,MOERAN ROAD,,4,,,1986,Y ,Ascaill Balfe  
372222,BALFE ROAD,,,4,,,1986,Y ,Bóthar Balfe
373876,BALFE ROAD EAST,MOERAN ROAD,,4,,,0,Y ,
40272,BALFE STREET,HARRY STREET,CHATAM STREET,5,,,1973,Y ,Sráid Balfe 
172886,BALLS LANE,OFF ANNE STREET NORTH,,1,,,1940,Y ,
122833,BALLSBRIDGE AVENUE,MERRION ROAD,BEATTYS AVE,5,,,1940,Y ,Ascaill Dhroichid na Dothra 
36831774,BALLSBRIDGE PARK,MERRION ROAD,,5,,1990,0,N ,
122852,BALLSBRIDGE TERRACE,PEMBROKE ROAD,,5,,,1962,Y ,Ardán Dhroichid na Dothra
30378,BALLSBRIDGE WOOD,SHELBOURNE ROAD,,5,,1996,,N,
